participante_id;jogo_id;gols_a;gols_b
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;00804107-d265-4ce0-8fa0-ddbe68e8163d;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;eeb974eb-67fc-4260-a4ea-0a9450cd4bc7;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;51f0ff44-15d4-4669-a082-050405194406;0;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;e5044fff-3542-4b24-9331-b3c3bd84692d;1;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;f2e46b5c-6866-492b-b8b3-f6cae34f7ec7;1;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;f0e9ba93-8a74-429c-be82-31adef64970b;1;3
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;2c237b79-380c-4474-b377-275e67b9c3a4;0;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;1dc15474-5c90-41fd-833a-5bf953fc1a62;0;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;ed124ab7-1f57-4c61-ae5b-85f327355a54;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;bed268f0-cf7e-405c-a096-7cf8a582c7e2;1;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;b6ed7065-a307-4e7d-b9f8-f454cdbdf5a8;3;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;72b48638-ef0f-4645-92c8-51ec6218ed9a;0;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;c6d40e5f-a57d-49c7-8a85-c6524e5629b6;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;02f0c2c3-b0ec-4dc8-9286-274dc62d85b7;0;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;46507557-7c9f-4c02-a1a1-6e23f971e923;1;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;3e2e3c77-f016-493b-bf16-07e31fe91466;2;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;558195d2-5afb-439d-b3ff-bd8aaa0d05ad;2;3
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;790cc44b-d80a-4fa0-9dff-60a47c367dcc;0;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;d15617ab-21a0-4233-b0c7-d81e9c4fe168;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;8d6f9e88-4f45-4613-bed8-1104fed67e81;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;38e77705-c9dd-4340-b07b-1a602079c785;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;7029238d-800f-474c-a1a1-6e39f6426826;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;b9fe6496-64c2-44a6-9e68-7faa1dbabf94;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;e7c8da36-b6ff-47fa-9904-06af82e7ade4;1;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;35f389be-886f-421b-a0da-6244a230cfc3;3;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;9976821a-b7c4-45e4-90e1-4718a8ea498d;1;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;4a3ff2cf-924a-40b2-8540-6213eacd2460;2;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;bc757dba-eae9-449c-8986-3a7423db361b;3;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;4a6a222f-45d8-46dc-a479-9e2862c5ec04;2;3
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;ac7f16c1-b9ac-4471-bbc1-d224f3dea0eb;1;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;720ea640-677c-40ea-b0f0-2349c14f43e9;1;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;221524df-de81-4c62-b5fc-07692a7a6701;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;7401aacf-a513-4899-add1-9020af17c085;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;eb71238e-8f11-4b6c-b3d8-4f073dde25cb;0;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;15ccd2e2-ff62-44af-9cdc-4ba734802b4c;0;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;b89d061b-211b-468d-8df1-00be0ad11e3b;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;cc216780-5af6-48e5-ba90-40b2b5095f6f;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;23c37287-e2a9-46bd-8462-d93e552f7f02;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;d1baa0fe-6f5b-4c77-ab18-cf3879a35202;2;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;48233635-63c8-4c8e-9e24-f5fea034d578;0;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;a0ed30bf-d2ba-4f20-b3ff-9235725a2828;0;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;dbe94e5e-1ac1-483b-b3e3-b1837bd07b69;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;b4c8645f-7fda-4983-9b85-79c70621e255;3;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;fbafc025-bbef-4e8f-8c24-3168b7c94609;1;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;577621d7-41f9-42e9-bc72-7cd5eb642329;3;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;2e780d25-f1f5-4e6b-bed3-a2c17e245885;2;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;c9bb33fd-91e7-4fba-b13a-32c8f574bac9;3;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;4ed786d2-f903-4cfc-8bad-0b1c03757811;0;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;ec8fa0cd-da44-4bb1-8124-94c0f54837cf;3;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;4fbf144a-faa9-4928-aa94-424246daf5c2;1;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;aefa3302-baf2-4aa1-84f3-c1b37212b1fd;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;ffa9e78d-d28b-4f50-8147-10d459414ece;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;e234852c-1749-439a-81a0-9714c2de6884;1;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;617b2750-c295-4c2c-8947-16e4dfe3e4c3;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;1af918bd-ec32-4802-bad5-4f631af54133;2;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;84295db2-1e91-48de-9c8c-da77f961b366;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;63ca3b21-8ae6-4694-b5d9-847f594847ca;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;b16dc9f2-3dd6-4477-950f-33306996710f;0;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;417bb761-fee7-4064-91c1-c0ac7f067f27;1;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;39a3507d-d9d6-496f-b1d2-1b17699bdcff;0;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;c5b846f6-0e5f-488f-8db9-903cf600effb;1;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;05922653-dbb1-4d88-9481-81d45a2a89d4;0;2
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;99412f67-a0f5-4a96-a16c-8d79249bbfef;2;0
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;fc1a59d4-4b43-412c-a8cf-df27888531b1;2;1
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;0a1b2929-b031-4c05-9f44-eb05cc63e024;0;3
cc1a8b9b-d27a-4709-afc4-f98dc5b39814;9fa9c061-bbc6-494a-a0b1-3b04e740478e;2;1
